Short description,Resolution Note
Missing receipts from WMS to RMS for Primark Depot 10966,"Event Description: Missing receipts from WMS to RMS for Primark Depot 10966 Root Cause Category: Integration Failure Root Cause Subcategory: Message Broker / Interface Delay Detailed Root Cause Analysis: A network timeout between the Warehouse Management System (WMS) and the Retail Management System (RMS) middleware caused the outbound receipt messages to stall in the transactional integration layer instead of pushing to the host system. Action Taken: Reprocessed the pending receipt messages from the WMS outbound interface table. Confirmed successful delivery and validation inside RMS. Resolution Type: Data Reprocessing Preventive Action: Set up automated infrastructure alerts to notify the middleware team if an outbound payload remains in a ""Pending"" status for more than 15 minutes."
Exception raised for Backout queue 1161 -  ESB.RMS.RECEIPTS.IQ.BAK,"Event Description: Exception raised for Backout queue 1161 - ESB.RMS.RECEIPTS.IQ.BAK Root Cause Category: Middleware / ESB Exception Root Cause Subcategory: Data Validation / Schema Mismatch Detailed Root Cause Analysis: An incoming receipt message contained an invalid date-time format in the header wrapper, causing the Enterprise Service Bus (ESB) parser to reject the file and route it to the backout queue (BAK) to avoid blocking the main message queue. Action Taken: Corrected the date-time format in the payload directly via the ESB message management console and re-queued the message for successful execution. Resolution Type: Data Correction & Re-queue Preventive Action: Update upstream mapping code in the WMS system to guarantee strict formatting compliance before message delivery."
New pallet was generated by VP. This pallet can generate error closing trailer.,"Event Description: New pallet was generated by VP. This pallet can generate error closing trailer. Root Cause Category: Application Logic / Software Bug Root Cause Subcategory: System State Mismatch Detailed Root Cause Analysis: The Voice Picking (VP) system allowed a warehouse operator to generate and associate a new pallet ID to a trailer session that had already been marked as 'Finalized', resulting in a structural conflict that blocks the trailer closure workflow in the WMS. Action Taken: Executed a database backend script to safely un-link the orphaned pallet ID from the finalized trailer record and assigned it to a standard open staging lane. Resolution Type: Backend Database Modification Preventive Action: Deploy an application patch to the Voice Picking system that restricts new pallet generation on any trailer session once it transitions past the active loading state."
Islip Depot - We notice that there is an issue with lag for store emails. For example the order for store 534 inserted into JDA at 15:06 but we got the email at,"Event Description: Islip Depot - We notice that there is an issue with lag for store emails. For example the order for store 534 inserted into JDA at 15:06 but we got the email at [Delayed] Root Cause Category: Infrastructure / Email Gateway Root Cause Subcategory: Server Resource Contention Detailed Root Cause Analysis: A massive spike in system-generated client orders caused a bottleneck within the local mail server's SMTP relay pool, resulting in processing latency for outward-bound store notifications coming out of JDA. Action Taken: Restarted the SMTP relay services and allocated additional temporary CPU allocation to clear out the accumulated outbound message queue. Resolution Type: Infrastructure Service Optimization Preventive Action: Implement load balancing for the notification gateway and increase the concurrent thread pool limit during high-volume operational shifts."
Exception raised for Backout queue PI368 -  ESB.STRATIFICATION.PI368PO.IQ.BAK,Event Description: Exception raised for Backout queue PI368 - ESB.STRATIFICATION.PI368PO.IQ.BAK Root Cause Category: Middleware / ESB Exception Root Cause Subcategory: Missing Reference Data Detailed Root Cause Analysis: A Purchase Order (PO) stratification payload failed validation and was routed to the backout queue because the master Vendor ID supplied in the payload did not exist in the host core database. Action Taken: Set up the missing Vendor ID within the master database registry and manually triggered the re-processing of the failed payload from the backout console. Resolution Type: Master Data Sync Preventive Action: Implement validation rules in the upstream ordering system to block PO generation if the associated Vendor record is unverified or missing.
"We would like to report an GRN that has unit discrepancy issues. We have confirmed a total of 2578 units [out of a total of 2585], leaving only 7 cartons as bei","Event Description: We would like to report an GRN that has unit discrepancy issues. We have confirmed a total of 2578 units [out of a total of 2585], leaving only 7 cartons as being [short] Root Cause Category: Inventory / Receiving Discrepancy Root Cause Subcategory: Physical vs System Count Mismatch Detailed Root Cause Analysis: A discrepancy occurred during the Goods Received Note (GRN) matching phase because a supplier short-shipment of 7 physical cartons was missed during the initial physical dock intake. Action Taken: Adjusted the GRN entry inside the system to reflect the true verified quantity of 2578 units and initiated an official supplier shortage recovery claim. Resolution Type: Inventory Record Adjustment Preventive Action: Retrain the intake yard team on the application of strict blind-counting procedures during inbound trailer processing."
TC: depo RSDL - missing 1 box for ADVANCED order 20984990,"Event Description: TC: depo RSDL - missing 1 box for ADVANCED order 20984990 Root Cause Category: Operational / Warehouse Floor Root Cause Subcategory: Short Pick / Misplaced Item Detailed Root Cause Analysis: During the order assembly for advanced order 20984990, an operator inadvertently left one packed box behind at pick location grid A-12 due to a misread pick list ticket. Action Taken: Conducted a physical search of the pick grid, retrieved the misplaced box, moved it directly to the active staging line, and marked the order status as fully complete. Resolution Type: Physical Rectification Preventive Action: Enable mandatory barcode configuration rules requiring pickers to scan each individual container validation code before transitioning orders to staging."
Islip 963 - trailer CTS19969 stuck on dock door 65G ,Event Description: Islip 963 - trailer CTS19969 stuck on dock door 65G Root Cause Category: Application Logic / WMS Lock Root Cause Subcategory: Database Thread Deadlock Detailed Root Cause Analysis: Trailer CTS19969 became stuck at dock door 65G within JDA due to an application database deadlock that occurred when two users concurrently attempted to update the same shipping manifest record. Action Taken: Terminated the deadlocked database process thread and cleared the active lock flags via database access tools to free up the trailer status. Resolution Type: Database Lock Release Preventive Action: Optimize table index properties and review transaction isolation settings for the dock door assignment software module.
"OSTH - Work Order Cancelation, Both of the WO: 81031 and 81230 are showing in your WMS and they are reserving stock causing stock sync issue. Please cancel them","Event Description: OSTH - Work Order Cancelation, Both of the WO: 81031 and 81230 are showing in your WMS and they are reserving stock causing stock sync issue. Please cancel them Root Cause Category: Inventory Sync / Work Order Management Root Cause Subcategory: Stale Reservation Detailed Root Cause Analysis: Work orders 81031 and 81230 were deleted in the host planning software, but the corresponding cancellation message was dropped before execution in WMS, leaving the physical inventory erroneously locked. Action Taken: Manually flagged the status of work orders 81031 and 81230 as ""Cancelled"" in the WMS UI to release the inventory allocation and ran an on-demand stock synchronization job. Resolution Type: Manual System Override Preventive Action: Implement a automated nightly data health check script designed to catch and cancel orphaned inventory allocations between systems."
343 Naas Depot  pallet process failure at dock door 23  JDA( The specified location is currently full ) ,"Event Description: 343 Naas Depot pallet process failure at dock door 23 JDA( The specified location is currently full ) Root Cause Category: WMS Configuration / Putaway Logic Root Cause Subcategory: Capacity Constraint Detailed Root Cause Analysis: The process failed because the system reached the maximum item volume threshold set in JDA for dock door 23, blocking the allocation of new pallets. Action Taken: Cleared processed pallets from the physical dock door layout to open floor grids and forced a capacity recalculation refresh for door 23 in the system. Resolution Type: Space Clearing & System Refresh Preventive Action: Adjust location volumetric profiles inside JDA for critical high-volume dock doors and activate overflow staging logic fields."
